,CT,ME,NEMA,NH,RI,SEMA,VT,WCMA
0,2730.60,997.60,2148.30,996.30,721.10,1288.10,491.00,1804.10
1,2583.50,949.80,2060.40,957.50,688.30,1224.70,466.70,1873.10
2,2498.30,920.70,2009.40,926.60,667.80,1188.70,453.70,2204.20
3,2465.80,908.20,1988.40,928.90,659.10,1173.10,449.50,2261.90
4,2500.70,892.30,1995.20,939.20,662.90,1183.70,450.30,2197.50
5,2564.20,976.20,2038.20,965.60,681.30,1220.90,458.40,2240.30
6,2717.50,1007.40,2118.30,986.30,661.40,1247.40,454.20,2308.50
7,2865.30,1131.60,2202.80,1077.90,703.70,1301.60,489.10,1996.10
8,3030.80,1191.30,2324.70,1152.80,765.00,1381.80,512.60,1735.70
9,3155.10,1258.50,2398.70,1218.60,863.40,1466.60,524.10,1813.20
10,3206.90,1283.00,2424.80,1239.60,888.10,1484.90,527.20,1834.50
11,3221.80,1272.10,2448.80,1236.40,891.00,1496.30,505.90,1830.90
12,3213.30,1257.70,2460.80,1230.40,892.00,1497.30,500.50,1823.90
13,3190.40,1249.30,2454.30,1242.20,882.80,1497.60,516.50,1800.50
14,3198.20,1261.70,2453.40,1237.00,875.80,1499.20,524.80,1810.60
15,3244.80,1288.90,2492.00,1269.60,891.10,1549.80,548.80,1860.20
16,3495.40,1477.30,2675.40,1410.90,957.70,1703.50,652.80,2027.60
17,3757.50,1509.10,2830.50,1498.60,1009.00,1830.10,693.90,2144.00
18,3787.00,1457.70,2850.90,1444.50,1014.10,1831.40,631.10,2141.40
19,3714.30,1434.90,2820.00,1409.80,1003.00,1792.40,617.60,2103.00
20,3617.00,1375.70,2756.30,1354.30,966.30,1725.80,631.20,2011.60
21,3429.70,1255.90,2611.60,1265.00,907.40,1623.10,573.10,1902.60
22,3189.20,1150.80,2452.00,1182.60,846.80,1507.50,526.40,1776.60
23,2911.00,1045.10,2308.00,1074.50,774.30,1376.20,492.60,1645.70
24,2773.70,1012.70,2188.90,991.60,730.30,1329.60,508.70,1837.70
25,2638.60,979.50,2107.70,946.50,698.20,1268.20,482.90,2024.20
26,2566.10,949.30,2069.80,920.30,683.10,1238.70,457.80,2249.80
27,2541.20,953.30,2058.20,920.80,675.40,1231.60,452.10,2271.50
28,2585.80,985.90,2085.80,943.60,685.80,1252.80,451.90,2015.20
29,2687.60,1076.40,2189.10,987.30,721.40,1318.10,462.70,1838.60
30,2929.30,1185.20,2342.60,1057.90,756.70,1391.80,429.80,1712.60
31,3137.60,1328.00,2483.20,1170.30,815.80,1479.80,485.10,1813.60
32,3296.60,1382.50,2578.10,1249.80,853.00,1567.20,544.60,1886.50
33,3417.00,1401.70,2626.70,1298.80,882.40,1608.10,564.10,1927.70
34,3480.80,1407.20,2639.90,1303.00,903.00,1629.00,572.20,1948.40
35,3506.20,1371.50,2657.30,1302.90,909.50,1625.60,581.10,1925.70
36,3499.90,1363.50,2662.70,1296.40,903.50,1619.40,563.20,1923.30
37,3463.90,1339.60,2645.40,1282.90,897.20,1618.30,550.40,1894.60
38,3458.70,1344.40,2662.20,1278.50,889.40,1623.90,570.60,1908.40
